evidence_condition,is_degraded_condition,sequence_groups,complete_sequences,complete_sequence_rate,parser_valid_all_three_count,parser_valid_all_three_rate,evidence_state_adequate_all_three_count,evidence_state_adequate_all_three_rate,audit_detected_degradation_count,audit_detected_degradation_rate,audit_false_assurance_count,audit_false_assurance_rate,escalation_recovery_count,escalation_recovery_rate,cascade_failure_count,cascade_failure_rate,cascade_sequence_type_counts
clean,False,60,57,0.95,17,0.283333,17,0.283333,0,0.0,0,0.0,0,0.0,43,0.716667,"{""incomplete_persisted_sequence"": 3, ""parser_failure_cascade"": 40, ""preserved_or_clean_success"": 17}"
compressed_lossy,True,60,60,1.0,31,0.516667,0,0.0,48,0.8,3,0.05,0,0.0,60,1.0,"{""audit_false_assurance"": 2, ""detected_not_recovered"": 29, ""parser_failure_cascade"": 29}"
partial_dropout,True,60,60,1.0,14,0.233333,0,0.0,41,0.683333,2,0.033333,0,0.0,60,1.0,"{""detected_not_recovered"": 14, ""parser_failure_cascade"": 46}"
noisy_conflicting,True,60,57,0.95,29,0.483333,0,0.0,52,0.866667,1,0.016667,0,0.0,60,1.0,"{""audit_false_assurance"": 1, ""detected_not_recovered"": 28, ""incomplete_persisted_sequence"": 3, ""parser_failure_cascade"": 28}"
ALL,,240,234,0.975,91,0.379167,17,0.070833,141,0.5875,6,0.025,0,0.0,223,0.929167,"{""audit_false_assurance"": 3, ""detected_not_recovered"": 71, ""incomplete_persisted_sequence"": 6, ""parser_failure_cascade"": 143, ""preserved_or_clean_success"": 17}"
