condition,condition_label,reason,case_count,unique_task_count,task_ids,glm_decision_correct_rate,claude_decision_correct_rate,glm_escalation_correct_rate,claude_escalation_correct_rate,glm_audit_passed_rate,claude_audit_passed_rate,safe_note
missing_policy_rule,missing_policy_rule,"audit_disagreement,both_decision_wrong,glm_recovered_by_escalation,claude_recovered_by_escalation",1,1,P03-T0005,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,Observed result under current Pilot 03 real LLM experimental conditions; robustness and sensitivity checks are descriptive and evidence-bounded.
missing_policy_rule,missing_policy_rule,"both_decision_wrong,glm_recovered_by_escalation,claude_recovered_by_escalation",6,6,P03-T0001;P03-T0003;P03-T0007;P03-T0009;P03-T0011;P03-T0019,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,Observed result under current Pilot 03 real LLM experimental conditions; robustness and sensitivity checks are descriptive and evidence-bounded.
missing_policy_rule,missing_policy_rule,"escalation_disagreement,audit_disagreement,both_decision_wrong,glm_recovered_by_escalation",1,1,P03-T0015,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,Observed result under current Pilot 03 real LLM experimental conditions; robustness and sensitivity checks are descriptive and evidence-bounded.
missing_policy_rule,missing_policy_rule,"escalation_disagreement,both_decision_wrong,glm_recovered_by_escalation",2,2,P03-T0013;P03-T0017,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,Observed result under current Pilot 03 real LLM experimental conditions; robustness and sensitivity checks are descriptive and evidence-bounded.
missing_one_required_unit,missing_one_required_unit,audit_disagreement,4,4,P03-T0002;P03-T0004;P03-T0012;P03-T0014,1.000000,1.000000,1.000000,1.000000,0.250000,0.750000,Observed result under current Pilot 03 real LLM experimental conditions; robustness and sensitivity checks are descriptive and evidence-bounded.
missing_one_required_unit,missing_one_required_unit,"audit_disagreement,both_decision_wrong,both_escalation_wrong",1,1,P03-T0001,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,Observed result under current Pilot 03 real LLM experimental conditions; robustness and sensitivity checks are descriptive and evidence-bounded.
missing_one_required_unit,missing_one_required_unit,"both_decision_wrong,both_escalation_wrong",9,9,P03-T0003;P03-T0005;P03-T0007;P03-T0009;P03-T0011;P03-T0013;P03-T0015;P03-T0017;P03-T0019,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,Observed result under current Pilot 03 real LLM experimental conditions; robustness and sensitivity checks are descriptive and evidence-bounded.
