execution_order,dry_run_manifest_row_number,batch_id,stage,evidence_condition,request_id,execution_mode,model_execution_enabled,api_calls_planned,model_calls_planned,raw_prompt_instance_written,raw_response_written,jsonl_written,expected_sanitized_output_path,approval_required_before_execution
498,498,pilot05_05ag_escalation_compressed,escalation,compressed,pilot05_dry_run_request_0498,no_call_readiness_plan_only,False,0,0,False,False,False,reports/pilot_05_cfpb_cascade_sanitized_model_outputs/pilot_05_cfpb_cascade_escalation_sanitized_outputs.csv,True
499,499,pilot05_05ag_decision_partial_dropout,decision,partial_dropout,pilot05_dry_run_request_0499,no_call_readiness_plan_only,False,0,0,False,False,False,reports/pilot_05_cfpb_cascade_sanitized_model_outputs/pilot_05_cfpb_cascade_decision_sanitized_outputs.csv,True
500,500,pilot05_05ag_audit_partial_dropout,audit,partial_dropout,pilot05_dry_run_request_0500,no_call_readiness_plan_only,False,0,0,False,False,False,reports/pilot_05_cfpb_cascade_sanitized_model_outputs/pilot_05_cfpb_cascade_audit_sanitized_outputs.csv,True
501,501,pilot05_05ag_escalation_partial_dropout,escalation,partial_dropout,pilot05_dry_run_request_0501,no_call_readiness_plan_only,False,0,0,False,False,False,reports/pilot_05_cfpb_cascade_sanitized_model_outputs/pilot_05_cfpb_cascade_escalation_sanitized_outputs.csv,True
502,502,pilot05_05ag_decision_noisy_conflicting,decision,noisy_conflicting,pilot05_dry_run_request_0502,no_call_readiness_plan_only,False,0,0,False,False,False,reports/pilot_05_cfpb_cascade_sanitized_model_outputs/pilot_05_cfpb_cascade_decision_sanitized_outputs.csv,True
503,503,pilot05_05ag_audit_noisy_conflicting,audit,noisy_conflicting,pilot05_dry_run_request_0503,no_call_readiness_plan_only,False,0,0,False,False,False,reports/pilot_05_cfpb_cascade_sanitized_model_outputs/pilot_05_cfpb_cascade_audit_sanitized_outputs.csv,True
504,504,pilot05_05ag_escalation_noisy_conflicting,escalation,noisy_conflicting,pilot05_dry_run_request_0504,no_call_readiness_plan_only,False,0,0,False,False,False,reports/pilot_05_cfpb_cascade_sanitized_model_outputs/pilot_05_cfpb_cascade_escalation_sanitized_outputs.csv,True
505,505,pilot05_05ag_decision_clean,decision,clean,pilot05_dry_run_request_0505,no_call_readiness_plan_only,False,0,0,False,False,False,reports/pilot_05_cfpb_cascade_sanitized_model_outputs/pilot_05_cfpb_cascade_decision_sanitized_outputs.csv,True
506,506,pilot05_05ag_audit_clean,audit,clean,pilot05_dry_run_request_0506,no_call_readiness_plan_only,False,0,0,False,False,False,reports/pilot_05_cfpb_cascade_sanitized_model_outputs/pilot_05_cfpb_cascade_audit_sanitized_outputs.csv,True
507,507,pilot05_05ag_escalation_clean,escalation,clean,pilot05_dry_run_request_0507,no_call_readiness_plan_only,False,0,0,False,False,False,reports/pilot_05_cfpb_cascade_sanitized_model_outputs/pilot_05_cfpb_cascade_escalation_sanitized_outputs.csv,True
508,508,pilot05_05ag_decision_compressed,decision,compressed,pilot05_dry_run_request_0508,no_call_readiness_plan_only,False,0,0,False,False,False,reports/pilot_05_cfpb_cascade_sanitized_model_outputs/pilot_05_cfpb_cascade_decision_sanitized_outputs.csv,True
509,509,pilot05_05ag_audit_compressed,audit,compressed,pilot05_dry_run_request_0509,no_call_readiness_plan_only,False,0,0,False,False,False,reports/pilot_05_cfpb_cascade_sanitized_model_outputs/pilot_05_cfpb_cascade_audit_sanitized_outputs.csv,True
510,510,pilot05_05ag_escalation_compressed,escalation,compressed,pilot05_dry_run_request_0510,no_call_readiness_plan_only,False,0,0,False,False,False,reports/pilot_05_cfpb_cascade_sanitized_model_outputs/pilot_05_cfpb_cascade_escalation_sanitized_outputs.csv,True
511,511,pilot05_05ag_decision_partial_dropout,decision,partial_dropout,pilot05_dry_run_request_0511,no_call_readiness_plan_only,False,0,0,False,False,False,reports/pilot_05_cfpb_cascade_sanitized_model_outputs/pilot_05_cfpb_cascade_decision_sanitized_outputs.csv,True
512,512,pilot05_05ag_audit_partial_dropout,audit,partial_dropout,pilot05_dry_run_request_0512,no_call_readiness_plan_only,False,0,0,False,False,False,reports/pilot_05_cfpb_cascade_sanitized_model_outputs/pilot_05_cfpb_cascade_audit_sanitized_outputs.csv,True
513,513,pilot05_05ag_escalation_partial_dropout,escalation,partial_dropout,pilot05_dry_run_request_0513,no_call_readiness_plan_only,False,0,0,False,False,False,reports/pilot_05_cfpb_cascade_sanitized_model_outputs/pilot_05_cfpb_cascade_escalation_sanitized_outputs.csv,True
514,514,pilot05_05ag_decision_noisy_conflicting,decision,noisy_conflicting,pilot05_dry_run_request_0514,no_call_readiness_plan_only,False,0,0,False,False,False,reports/pilot_05_cfpb_cascade_sanitized_model_outputs/pilot_05_cfpb_cascade_decision_sanitized_outputs.csv,True
