provider,model_name,model_label,condition,n_chains,valid_chain_count,valid_chain_rate,decision_correct_count,decision_correct_rate,decision_failure_count,decision_failure_rate,audit_pass_count,audit_pass_rate,audit_false_assurance_count,audit_false_assurance_rate,audit_detected_decision_failure_count,audit_detection_rate_on_decision_failure,undetected_decision_failure_count,undetected_decision_failure_rate,escalation_correct_count,escalation_correct_rate,escalation_recovered_decision_failure_count,escalation_recovery_rate_on_decision_failure,escalation_lost_decision_success_count,escalation_loss_rate_on_decision_success,cascade_failure_count,cascade_failure_rate,net_escalation_gain_rate,safe_note
zai,glm-5.2,GLM-5.2,original_evidence,20,20,1.0,20,1.0,0,0.0,20,1.0,0,0.0,0,,0,0.0,20,1.0,0,,0,0.0,0,0.0,0.0,Reliability cascade metrics for the controlled Pilot 03 20-task comparison. Metrics are computed from committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
zai,glm-5.2,GLM-5.2,missing_policy_rule,20,20,1.0,10,0.5,10,0.5,2,0.1,2,0.1,8,0.8,2,0.1,20,1.0,10,1.0,0,0.0,0,0.0,0.5,Reliability cascade metrics for the controlled Pilot 03 20-task comparison. Metrics are computed from committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
zai,glm-5.2,GLM-5.2,missing_one_required_unit,20,20,1.0,10,0.5,10,0.5,11,0.55,9,0.45,1,0.1,9,0.45,10,0.5,0,0.0,0,0.0,10,0.5,0.0,Reliability cascade metrics for the controlled Pilot 03 20-task comparison. Metrics are computed from committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
anthropic,claude-opus-4-8,Claude Opus 4.8,original_evidence,20,20,1.0,20,1.0,0,0.0,20,1.0,0,0.0,0,,0,0.0,20,1.0,0,,0,0.0,0,0.0,0.0,Reliability cascade metrics for the controlled Pilot 03 20-task comparison. Metrics are computed from committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
anthropic,claude-opus-4-8,Claude Opus 4.8,missing_policy_rule,20,20,1.0,10,0.5,10,0.5,0,0.0,0,0.0,10,1.0,0,0.0,17,0.85,7,0.7,0,0.0,3,0.15,0.35,Reliability cascade metrics for the controlled Pilot 03 20-task comparison. Metrics are computed from committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
anthropic,claude-opus-4-8,Claude Opus 4.8,missing_one_required_unit,20,20,1.0,10,0.5,10,0.5,14,0.7,10,0.5,0,0.0,10,0.5,10,0.5,0,0.0,0,0.0,10,0.5,0.0,Reliability cascade metrics for the controlled Pilot 03 20-task comparison. Metrics are computed from committed sanitized paired-chain outputs only and should not be interpreted as broad deployment evidence or broad cross-provider conclusions.
